line,raw_triple_sha256,rank_hash,split,source_length,mt_length,pe_length,edit_fraction,edited_tokens,untouched_tokens,levenshtein_distance,deletions
2305,ff5fd6a37e7e1e5ec25a3c254db6044b927d7079c16dee1b86839a291fc5c387,00ad948bc05689f23e37a20a5c4106a3e056e1ea2fe947d48fbfb0238ac96340,diagnostic,20,19,22,0.3181818181818182,7,16,7,0
493,0047ed410c1741e16d39d22e95a55b99a2237d5f1b1a8a0cefb55138f37cdb8a,00ae2f2beaec3909be04348405dc05bfaeeec55a1201ec83dbf5c1e5468a6470,diagnostic,14,15,16,0.125,2,15,2,0
3040,9921da877bdc0bc607a3b2d8045d26bec4691f2103ecbaf41024e4a83e462540,00b3ad97e7f50c0ad5fe694f34672f02e5b47976642408b7acbe042f10de112c,diagnostic,17,22,24,0.125,3,22,3,0
812,a655c2863727ae5235f8e1ece2986f594019309945c38b011bf6f829ec283dc7,00b973ffd45100f59a7fcfbf7b4598a6202ebbc571069bcf4b600d42403e46c2,diagnostic,15,19,19,0.0,0,20,0,0
3983,378d81328d1f48d58dcea865b182cd892c4e3d0ee013482ab30f34c3ff86b5ed,00b98fe64af26d2d3a71b9f4a064494d0ce1887cc2f3f8292f01b7a420be4e73,diagnostic,30,27,29,0.2413793103448276,7,23,8,1
3125,5a99b79f24833d914710e5e80863433d44eb748052b17498433f0f75cebd4000,00c6a285b9e1d824fce17e54de0f524ca2ad611b402011af043b33bdbbb88257,diagnostic,15,15,19,0.2631578947368421,5,15,5,0
1694,36d86158c09bd08277b8c8bf8f3f6d3c927e03627f3ece9bfc9b4fd62869dc0e,00c8eac60709145aa58c284c347fe7a13ae42da0fde04208157ac188f477908e,diagnostic,16,21,21,0.0,0,22,0,0
4497,49d52b6f3f846a985b752c85e6486c1d1a924b19d488fe0f00db70512f0c343c,00d818ff80f5dd1c0d33b65b7503f48c764f94888c53809e211925648e0aa935,diagnostic,27,27,31,0.22580645161290322,7,25,7,0
2314,3e21980e8522f95027cd0441f1e43f9e45a46dd5e84743bf9a1f90e20d1a40d2,00db5cb0807e6126d015fd80a55bfdfde5becd49320c6f9ce0c067a60363e412,diagnostic,19,16,18,0.2222222222222222,4,15,5,1
312,7102c9828141de2da40c72510c44996a508db9fc6d94afbfa0c2308a1faffe57,00dd80a90542650ba7e9850527ebccc7cecfc43284a00fb8650d7116b83aafcf,diagnostic,16,18,18,0.16666666666666666,3,16,3,0
2329,853bfccc70af8bfa61d13d6d1ad92a9ee1f9ec814f9c4940e52ae724e31acc91,00e2080c61d7b01ff6a201b94257f521520bc5f38eb7fd121ebbd29843afa19d,diagnostic,17,15,15,0.06666666666666667,1,15,1,0
1928,244a938663d4e640d069bf5fb516eeb7c9eee90cc6031a4cd241d6f9c763961d,00ec650aeb264876579816e7c1058139b4df91abc41bd3a3d70db3cfd2c5a0d1,diagnostic,27,27,28,0.14285714285714285,4,25,6,2
3292,92c7aa0f99e6b7465de5a215e7cf5aadd5cd7bc098d664d16a47ad761446dc5c,00f1b7ddfb7c048791d5bf93e818fbd38090dadaaeee5946acfca9d0a436e1f4,diagnostic,21,25,27,0.2962962962962963,8,20,14,6
241,cd6c0f10f051e6224843ba50bf7add245a39c761f75507c2adeab33095f31c38,01010c1c13a623595f9b620edba9bbb15435a18eba02979837c6923cad9b3ff0,diagnostic,31,27,27,0.0,0,28,0,0
3252,ccfb606e0e7e8d4f4058a8f11244890bd3f57b98da6d1807d98e5e1589cfa8ca,01077e11516696d82e3d49e5e5c537b5cf4d9362e1bd04bc7d3a876f43fbe937,diagnostic,26,28,28,0.0,0,29,0,0
2220,3eb6a417b56b923af4aca109fd27d03d62a5e09e14e5c8f65bd64b5ef7e24947,010b42c248ec6709f5cb35ca86c564f9c61691e98e7d017faa233da44dc43528,diagnostic,36,38,38,0.0,0,39,0,0
2975,0fc574ce833a09f79a702851dcd5912ee44abcd8ea1a45a6623613edb45c1716,010fa7c73e363606669c445e5d734c369ddeca757363dc87be437f1444fe0793,diagnostic,22,23,23,0.2608695652173913,6,18,7,1
310,e80142e307e48ffc9094847eebae45454edb2fbdcf3ff7f46a252a43be01bae7,011946c9b4811441ad264dc3d5e1b15db74f753eb1078bf78e74bebb1d618b57,diagnostic,33,33,33,0.09090909090909091,3,31,5,2
3378,b3e916fbf4603891ae4a4fa3dedf0612ece73b0c8ccf389cf5d625619c814c13,011cef6131c77bedeb6839690ad6060d70c92a6fd31042c2680220b0c4f55ea6,diagnostic,15,16,19,0.47368421052631576,9,11,12,3
4761,1396a21e2623ec25679e68271844b7fbbfd82d4246dba1bef4233bf44ac92eef,011d862232d022b3250fe0c685b4a7062229c5d035c930dfa92cfb9d7230f45d,diagnostic,16,16,16,0.0,0,17,0,0
5120,629c5c2a3804dfe3a8586d8534a13684f0453f76d6f70734a9107fe3a2936a39,012eaba22e377eae8563b54d30d0c6fcd72dabcd88c63527929d8147e7c306d3,diagnostic,35,44,42,0.23809523809523808,10,33,12,2
6837,a7b0a8bad8d889e9bebd3acd37384d63d4e6d8b7d6dcd7225abeeb2f153c302e,0132bc76c13cec8d3e1cda8324eda4a8e17672fc25ae4befd35953b5fd1e51c5,diagnostic,19,22,27,0.4444444444444444,12,16,12,0
6483,b21ae1f84d65115b53bb189667ccff2071b80ef5417ef8f82f6c14587810fde3,013b17cdbae5fb1247bf1a6c6124d5b2d0e3d7c82b47dc4383ca1d56819a7905,diagnostic,19,17,19,0.21052631578947367,4,16,4,0
4337,723d505ac5b3e2525ea5261aa65b5b42c7f44f92c407b9d5d2ca2fdde819eb52,014a88629f6f612f9062aa7d450605ca66f2c7063af898de3a7c779b2839d330,diagnostic,20,20,20,0.0,0,21,0,0
5907,230ff5529c527f72488d950b1f71e4469957957a53f63cb055bfadbc92369b13,015948f0698686731bca8ea010476c6536c318016650efeb96f1e0ea3c564b1c,diagnostic,16,16,16,0.0625,1,16,1,0
4044,93f5b8e9fcc32846a4e51ee184801a5fd450ba7510972e70c6e0b2ae8b12ab01,015fb89f373fda998a84073269f91692ebe741723e3e7eec7680f42299521b74,diagnostic,14,15,15,0.0,0,16,0,0
6903,13161ab981a7bd627faef9c3b13fb636b1f9198470c18358757bdaab356f8846,0175ea0bf228e821d7156391e31532268994cf7b04c3d321c2f3fd4bb9ca8e2f,diagnostic,26,30,30,0.0,0,31,0,0
101,347b346c5cbd6584e8b5216fc27aea6380f7bf051fe51f34472f03137e93d466,0179938eb739fb1a6c4fbfedadbe378b1b91231b0ed2d9f2b77a399d44765c42,diagnostic,38,46,47,0.19148936170212766,9,39,10,1
5929,92be0ec20c387cfff990859d7d97acb0fe16e2856393a0182afb77f0717010f5,01a9978ccfa36f2d2dd9cfb5278c31b57686eac5f8becc446fc44d6cc1ccddf7,diagnostic,22,22,25,0.4,10,16,11,1
3463,e77fbd0b66353695160043d21288014319e27ca45588fbee24ae790f9ddebb96,01b53c045d57860585ca65986990dd34f8923fead69f08cdeb64222b2b272700,diagnostic,36,39,40,0.5,20,21,23,3
5343,274b8040295e0415cc3b440fd884f05263cf5eccca9943a92b2a77509b2897c6,01c32422ea66e51b55bcc2b9ad95e28e3aa718e36cfcf08fdbc671fe119a46ed,diagnostic,20,24,28,0.14285714285714285,4,25,4,0
1334,4daeac34eaa5d35b05817174426ba3d295a5542e22874fcb7142ffeb86864ad3,01ceb9daa013d13969368ffea5254aa794541817602df848175844672ec02d3f,diagnostic,24,24,24,0.4583333333333333,11,14,13,2
6334,a8e4db97f4925371fa9d50358a137a7bed5c9dc15e02e92da6263ed784e2a336,01d8c99accad4339ffb7ec61c4784fb1ed69e0e639ab25faafb675849c75173c,diagnostic,25,25,25,0.0,0,26,0,0
2416,42658573f82223634496ed4e183729984d8255a6ac60f9e5cc8ac410da9e9673,01e0c0de7df525ec85027bd8f929e00d794badaf3288411e1da247e5d16ee7f6,diagnostic,35,43,44,0.5454545454545454,24,21,25,1
944,56c956bc505abf969bd5b7f2c1103f06a78ae96b6eac0adaaad11e28076d3d53,01ea8235b623fbae05d16cda0d4311cb3e72bbe2cc17b9a54e55f90cdb21796b,diagnostic,17,14,15,0.4,6,10,8,2
4914,e86b8756937df7919065867b3dc879d99b052cf1b83dc58e61679855874b22de,01f02e68559f921d5a3b94e4a64ac0c4c98eb050caf1eb44fca2b84a8f03e169,diagnostic,33,39,41,0.24390243902439024,10,32,12,2
2954,348a0d67a42095d18379b21e1ec76a2a5a812d66bbc9e6c7de9a9388644cf631,01f820a0545c353bed95baf8a1eb30ece696c5344f63c71b59cda320f8ebe8d8,diagnostic,21,26,26,0.0,0,27,0,0
5941,afef16541386a7c9942d3daa1e503aad7e2ecb8f38e6e500e683d60554b3876d,020139346150bbffacb3bd583ca9a728ff52de134518491c610a9f77fce1a142,diagnostic,21,21,21,0.0,0,22,0,0
3110,995cd159bd341e2176118807ecdb6a3fa7c3320632730eabdea457eb84242c66,020486f341e86ffd537aec4bb7816dbe855500c3407783e5223f742024c1f136,diagnostic,25,28,29,0.5862068965517241,17,13,17,0
4389,6ef49e8bb739d8876818092c3a52aa9f84d9c99b3bb512674567da068f8be53c,02062a9498f135a619fc7c0717108383bc1dac6d00f4913c621aaf0c2a2f14dc,diagnostic,15,16,14,0.21428571428571427,3,12,7,4
1174,6f06d0728b4f4a5036d81f073ddbfd42e08994facd766c9a1f19b3d2579dc197,0207ce7ced3eddabbd7f9bcdd9b27d7a41ba89716ea28d40e852b6abced5b413,diagnostic,17,16,23,0.4782608695652174,11,13,11,0
3314,8f8fd02d0e6765a669c5e923375567813573f011e9d9bf3af899d1a2472e8791,0214beb710a5051ac8dfc53282211c37e43df90d510882c05f18e8c26c90a250,diagnostic,16,20,20,0.15,3,18,3,0
4157,aa61ddc3a30f4dbc641f9df4060ac4e9bfc7f8632c709d6196ebe8b9ce5e919f,02160c0e3f4f69440a9c7f440b1b5f28a7208318bad7f04952385c826f373c54,diagnostic,16,19,19,0.0,0,20,0,0
2001,7941791e522a2e34f64536fd9d9140fcfaed5d781b83496e26a5ec2307893f99,0218f6b401d30145c1f563cd50a5fca9ebf50341c30eee3cf87ce0624363adce,diagnostic,18,20,20,0.0,0,21,0,0
3400,592c4ba3dfb23ab864040dba78382dbd685ac5703a23bd4d4730155897e6a7cb,021a6c133b1366237d67ae8ee32658ad8eba183385d5bcfc9e232b4750af045f,diagnostic,10,13,13,0.0,0,14,0,0
4483,f5eb02712d0ecb93279b4261fa551a5775c902563a2e3bed350411e8328b5bd3,023840032e74ad820a90bc006f6206953950e9a1c1ee2daf48e098e9c10ece80,diagnostic,20,22,22,0.045454545454545456,1,22,1,0
6659,3b8262a499ad64d205dd70c3a3ec7032f3872a1ce27585895b20d09e9f19d277,02417ba6a5b84e70e26f624123bedfe063dfd9d61ffc8399d67821e82173155c,diagnostic,30,33,33,0.0,0,34,0,0
2287,e59c3c3d1e5b040536ce753091bff02c1050724b6d28032fd595dd2783d1680d,0250c00697a8ca6468fb120a5b338699aa35374194547d836faa9ab103fdc1ff,diagnostic,20,23,23,0.0,0,24,0,0
6919,94930de9e10b31e5f387b783bde4f567157af439478ceaa3f8b5c644ae75ce01,02528f8cfa2871defef142dfcaf0b23094e39488fea515f2aba0df727bcdb49f,diagnostic,34,36,35,0.05714285714285714,2,34,3,1
3842,523d06914fea8f99ec977a0e0d4b8c37aceec06748a65e16c6bcc057127bca82,026bbd5401c57ee8c6ed332325a0a19bae029c51dba08981e9a864c97b0a327b,diagnostic,13,15,15,0.0,0,16,0,0
3149,b80021b2d683b3f22af0187ec247547b01067f9c951f3f6cf84d4f6b889d63b5,026e0aaa45d3028e6248249e8ef12f774c42728b6c725abe39231f6e25ef7e4a,diagnostic,16,21,21,0.047619047619047616,1,21,1,0
4125,a08f1b5f38f06a146b74c981b86d5c227655f31754a5674f8dbfafb20a70cc65,027d374e63df874727bdb76a3cc5b91af4eb37d800b6bc0c8292fbfde9f56664,diagnostic,22,21,21,0.09523809523809523,2,20,2,0
2602,ea263acd2f27b2f9d0d38add042e5916f22c83b2055ec99f96005bf2a0192e4e,027dcde0a30e0494a9c76b98f89c57d7f44bd3fc3981f9bbc1f11c31a6299727,diagnostic,36,38,39,0.02564102564102564,1,39,1,0
6730,d674bcf5bacec8943e408a5ee44a96a9d7b594e7532f6f5f029ecbd5ebae58ca,027e61928b7a9117ef0407de0f3b48711774312cecef2e72fc19bf86b0ac2fd9,diagnostic,22,20,21,0.047619047619047616,1,21,1,0
1770,ed06cf5ac2d161f59176cea9844321a0f2a4e574a509bf148dcdeee300ecf5a4,02860ba2741cb049e0cea2f5feb506e5a69ee0274db5fea77c5add87b697a729,diagnostic,24,23,24,0.20833333333333334,5,20,6,1
1204,1377e100ee476a933e8c72290c40ef9b29192d8420eaf40033cc2b61ac2ad328,028dc3f4e171c87c55bbfae448997d1436efa2865e746ea55d8690d446164974,diagnostic,13,15,17,0.23529411764705882,4,14,4,0
5082,b430b326218413c25bb4003fcec69d588d8980253b6d025aa10234805b086b19,029461ffac5ce18be435357be6e9e06c6cbe8e94b1704c92e7888a60949e8e0a,diagnostic,18,20,20,0.0,0,21,0,0
4272,46524a2e2fe9cf2136fd6458c3329ff75cd5d2e7e39bf9158ddab6f1b00decd3,0297c1c99db2f9b2c588a846aba854330ef679ac5c80b9364cbc8c1affe6c307,diagnostic,17,16,19,0.3157894736842105,6,14,6,0
4442,4ba998c0f34e73091e41e35e55dca807e9bdd1f9aeaa1c6c1765ad0a7e295bfe,0297c37f9a5b0e36815b456cff1738349f2b2b134f6d1e8d179419a9bb98d4e6,diagnostic,26,26,23,0.2608695652173913,6,18,9,3
4225,127d1d1c1d8a03e765f73314db4234ff4a1ea39197a01ca12839adb4e8b66253,02aa946a8c52415ba5ec340d73c10a8271889fcd60aa11a1f7821c9095df39f6,diagnostic,16,20,22,0.22727272727272727,5,18,5,0
3096,b3592fef10eda66b39dc6b61009d162f0c2281fd07012e2b615c4d1d3851045a,02b09dc2a05659cba4ebfe18ae6aa81db101d2c3bbb62474231b1d47a8223b4e,diagnostic,23,25,25,0.24,6,20,6,0
178,f89cc9e418cba791fe693881599f739501404260f332c773282b0622dc51d3cd,02ba8aaa664f777b6ef684706e77207f4098bcc24deddedfedfcb95a93081bd0,diagnostic,27,23,23,0.0,0,24,0,0
848,498451594b22e9b0eda2f9f27177a4f918b9e65803352cce1ce64eab3f6c6ea6,02d155656e9cef86066a858ba590c645a570358df49b227ea3329b446117a2b8,diagnostic,22,23,26,0.2692307692307692,7,20,7,0
4001,1bd3a833f4bb2ab9769b7cbb24207204922ba7c52aeefefe571f1bf1e0806347,02d6bc11cbbbe2791f4323ce36cde1fb7ed1521c20c2a192386fe144fe2eab7a,diagnostic,15,16,16,0.0,0,17,0,0
1655,fb8073e2a7ad556e7f5dea148321d62d091a3844fb659c7b665cd50507d58485,02d8f024f329aaa52be6718774f5cdb052786408bd712fc3e7297907eec7f4bd,diagnostic,26,27,27,0.0,0,28,0,0
5978,22d3f12c9a54bf3efd4babc14c403d7ece6bc5672024d443ecf3809703347024,02dc30342eb8432a1065192c267e40f71daae536810ece913b6194ce49b5366d,diagnostic,39,44,44,0.3181818181818182,14,31,17,3
4127,aa976ae1b9106c09fd88c68166075ceff317518fd8f00fe291de6d8eb836c87b,02e2c41a03c14d2226388cf6106eeda44da97b75d4eef642860afdbd069f23bd,diagnostic,27,26,29,0.3793103448275862,11,19,17,6
3145,6d1bf78a57aeae0c9475af3ba58dce97817c60725428bb8235ec79a6d22f9fd3,02ee7c9599f089aaa97ecbc724a47921b7e063d048e7ffa83e103806b5d910a9,diagnostic,24,20,23,0.21739130434782608,5,19,5,0
4870,2dc5fb0b5a9c96a925f461467d90df2e6a19e86cce4ae123b22974f9259edf0d,02f0bd86836c384e33c533066538a4d7d61598cf36db218526c1fa8ef73acced,diagnostic,13,16,16,0.0,0,17,0,0
2605,9eb3d451993b1488fcb0621534bdb5720c9bf3f2da792859df3dd45bcbe4c541,0302838af6c5e7e9eef3e4274ef426379f6318a4d53d211d2811920c234afec5,diagnostic,29,34,36,0.6666666666666666,24,13,24,0
4123,48416e7471a44145df5d004684be13683b4389df8c44aae56d0cc5eb7fd83dd5,030550580502c7a2fef0ad3cbbdda2222de07c7af8ec541404ed93441d1b31bb,diagnostic,27,30,30,0.0,0,31,0,0
186,707ae48f5801ce9202cb5b46ef9b63915253baac14ed980b6befcd6a35dcbf00,0306f844c624156f9a2bdaefa7390760b6d4baa785e8c6d9b58aa73ecc56cf77,diagnostic,22,18,19,0.10526315789473684,2,18,2,0
1467,e53ef1d13c33be0ca9df19d6c2c12d4829d049c4bc0625a5d20fd5a4bcec357e,031ab87a5f9a02874cbd745f3e73086a0accc6cf1c915d1c91f2a017dabff7d6,diagnostic,15,22,22,0.0,0,23,0,0
2616,a54525b8d758a24458235fef06fe0f98b547a0d29af2ae0b34ccf48246268446,0322758945ffe4f29f420ebb16afab79cff703d9917d3bc12c9ca88f6acde560,diagnostic,24,26,28,0.4642857142857143,13,16,15,2
2951,05456bfb4dbe448007a3f364329d1093e1d1ed979e3c9cc4238ef147c91af797,03251dad484639c4d1424ca0dad486fddb74864a71f23423d2879c3c6ad35b31,diagnostic,23,26,27,0.037037037037037035,1,27,1,0
1752,78672c8698d5febaa1cc2a91ee9b8a703bf96a0e7db5b8f811c3daac805f5f99,03252a1e7648f73bcd280b0ca7d1ae52c810f1da967700358eed1ddfeace071b,diagnostic,15,16,16,0.0,0,17,0,0
2381,81174bc0cd5001b1b8f5b00d4264b8c33de9c3c0f42a97dee3071600c3d1383f,0329940f88afaf92c3fe63d287b1440dcb165b4396295f03d657be1ab967f7d7,diagnostic,16,21,15,0.7333333333333333,11,5,17,6
5795,4e65c2e727c2eadf698388d06034877ffb74cbff2f2e3d94a65b62ef03d87cd1,032cc9eda59e34df0a93c5eb79c87797ae615d0a7febf40406836f45e17aadad,diagnostic,15,16,16,0.0,0,17,0,0
5154,adbf2d05a22fa72eaa3d36e25bf4a2d795dcc08008436ea2ec653c19bf6f8d33,03421d4c3e8a2fe0fc907212b340e26df07214c7edcc7bc4e41379e6f95a157c,diagnostic,23,24,24,0.08333333333333333,2,23,2,0
6896,65e78ea25f2eb301e4352180c87cf87a44a2c220a7c354f5e09274d763d7b8d6,034276a9714d9926a88ea058fc04b62b8a0a4c335345f3c042c335605ff58402,diagnostic,26,27,26,0.0,0,27,1,1
4521,60219a9b8945d7c62226e29b903f05452f120bac279e081d8af907ed27b893f1,034354cf0e9b174ca2b1aaf267fb76e8146f0aef060e9cedef571d03f708afda,diagnostic,37,43,49,0.42857142857142855,21,29,24,3
130,a77c8dcb2ca22b173bd30f5af64c81c4893f09a88fac3d789940b4463ba2577f,03462edbfc3dd4bd442fb64dd165307d66ebe62cbfd059f3b9b2a2016a95bf70,diagnostic,25,33,34,0.08823529411764706,3,32,3,0
5130,55035abb1504d62b0b5ca7fc03082ff9f292df8ca88c3967f0e1f714db82106a,0349220cbdae21968358a0435f75e4d989c8d975158d7d947a33efcf5f05d12e,diagnostic,22,28,29,0.20689655172413793,6,24,7,1
995,eaefa8ca445d471fbdd532eb17f286f9197143d5da79c701394f3dc69d403226,0351ccf17726fc8bb8873b1c35cbf0b4219a281a35587f9241d820fde6e6358e,diagnostic,30,39,39,0.02564102564102564,1,39,1,0
34,25e464a825e98cc571bf09b6e478cee59f44b4bc585d71acc3e55ae0c13c555d,03588ed792dcd47d6e2ac7bcaaa6699dfb846f38f0179658c1a57287d1df51a0,diagnostic,30,28,27,0.07407407407407407,2,26,3,1
5214,1ab2cf6e48ee2293e36793692d97ac6c02df0bef5b567b6b8adfcf62bb5bb2fd,038a7fe9753d489baafc1686fd1a5f1cbbd581ebe0943ccd9a55390211337225,diagnostic,22,22,22,0.0,0,23,0,0
3123,28b30608d841a4a699b51cfe22cba1f532a2bbdaea66407c19ce0ff67ca193f0,03aa9049636c8b7c7ab9171e18585580a8067cd53a15ace66171de872484795e,diagnostic,15,17,17,0.0,0,18,0,0
332,950570a7c2ca1beafe87ee575984b32195035229206e655277366119248a5109,03b608ee3a8c588629f677fee8b722ae576bf5e18e60ff5cdec0bada312527e7,diagnostic,33,32,31,0.25806451612903225,8,24,9,1
4732,bf3eb54c0c572610bcf45e2f9ae5ee21e77922d4435b061af7c63827242aa946,03bfb0a703767961efde3304165fb146d83ab32062071a1c9051036bf12471c7,diagnostic,26,30,31,0.03225806451612903,1,31,1,0
5707,df78c0ccedb8866e3fe8e8725d66936edbc4e40831a68d1ae7fcffda18380bd5,03c5767aa33519781c32e236bcff97d9468dd657a27de450e9aaa4c501b9baf1,diagnostic,19,19,18,0.05555555555555555,1,18,2,1
3306,9ed5baab4afab3d300f2d4e06ea75ccf7db87932274eb404942c9991b89538bf,03cf381882f6600173b870ec000e95eb5ff0a107cb9921b244ce2d78db41bc9c,diagnostic,27,30,29,0.06896551724137931,2,28,3,1
581,f3ca05001dc749c7493bee6336a3b56b4231b178894dd2cc3baf0c5452107a6b,03d2666f0a6891cdbb7f4148e47422246afd7e46f70e40a3fb7bc0a526bde031,diagnostic,26,31,31,0.0,0,32,0,0
4063,6c1629dbb870ccfbc23c39aca4c0a8eed00cfe4a71ce495b9eb51130f469851f,03d4fbe83e158b1dc0698d3447c7eb48f9af7262b41867670fb41021874f7e63,diagnostic,18,15,17,0.17647058823529413,3,15,3,0
1064,9897dcbb98840d3a6c210947ab43327645e258335709de62ae010eaf37712118,03dda2ecbf716fa463f71774a2f23b4ff8838749f9c69a21e3f6748e81d2be2a,diagnostic,24,23,23,0.0,0,24,0,0
364,5ed555751e0480a4ef8c486073c9adbfe473a84ad6cff232cc7090f8040a3446,03e71a2565704fa76c3300a6250d17b8f3133aca148f140d25d7874d07a7b027,diagnostic,22,18,21,0.14285714285714285,3,19,3,0
4978,73e54d4e72918bf68f59285712a2ababdcaeaa67ec62c3506983decbc45698c7,03f9f29518178e941db091553fd2679eff4d947b82e05cfc232c0efd3439bea3,diagnostic,16,16,16,0.0,0,17,0,0
3750,c22996c02b8ed102c109d7a6371d511ddd7f12d30f83e1b26e9b94d80fb24672,04033b11b8452db53836073d80b0f0e94c1d2d484f17f6fd0113df9512ca3dd9,diagnostic,18,18,18,0.0,0,19,0,0
4445,d89cce166efce962a1004d2e1ef6a5b6b33eca3727e3364dcd4d9ab510440311,040d07e8052e553ddcd75369363147de6fd02d1bfe884e12acc83f21cc236ae6,diagnostic,32,34,35,0.11428571428571428,4,32,4,0
1608,0082b67e4eec059c2b34299b28240e4c70aa969a87faacb56a92d27029cb3a88,042ba8ea74b0c210044119a001da9416acc4ff9528422168563c780937ba5086,diagnostic,36,33,34,0.2647058823529412,9,26,9,0
